Draw Date,Jackpot
3/7/25,233000000
3/4/25,215000000
2/28/25,197000000
2/25/25,181000000
2/21/25,165000000
2/18/25,145000000
2/14/25,129000000
2/11/25,110000000
2/7/25,94000000
2/4/25,77000000
1/31/25,59000000
1/28/25,44000000
1/24/25,28000000
1/21/25,20000000
1/17/25,113000000
1/14/25,95000000
1/10/25,77000000
1/7/25,62000000
1/3/25,42000000
12/31/24,20000000
12/27/24,1220000000
12/24/24,1000000000
12/20/24,862000000
12/17/24,760000000
12/13/24,695000000
12/10/24,619000000
12/6/24,579000000
12/3/24,541000000
11/29/24,514000000
11/26/24,489000000
11/22/24,453000000
11/19/24,420000000
11/15/24,387000000
11/12/24,361000000
11/8/24,334000000
11/5/24,303000000
11/1/24,281000000
10/29/24,250000000
10/25/24,229000000
10/22/24,205000000
10/18/24,185000000
10/15/24,169000000
10/11/24,150000000
10/8/24,129000000
10/4/24,108000000
10/1/24,93000000
9/27/24,77000000
9/24/24,62000000
9/20/24,47000000
9/17/24,31000000
9/13/24,20000000
9/10/24,800000000
9/6/24,740000000
9/3/24,681000000
8/30/24,627000000
8/27/24,582000000
8/23/24,535000000
8/20/24,498000000
8/16/24,464000000
8/13/24,435000000
8/9/24,405000000
8/6/24,374000000
8/2/24,358000000
7/30/24,331000000
6/25/24,97000000
6/21/24,80000000
6/18/24,61000000
6/14/24,47000000
6/11/24,30000000
6/7/24,20000000
6/4/24,560000000
5/31/24,522000000
5/28/24,489000000
5/24/24,453000000
5/21/24,421000000
5/17/24,393000000
5/14/24,363000000
5/10/24,331000000
5/7/24,306000000
5/3/24,284000000
4/30/24,257000000
4/26/24,228000000
4/23/24,202000000
4/19/24,178000000
4/16/24,148000000
4/12/24,120000000
4/9/24,97000000
4/5/24,67000000
4/2/24,36000000
3/29/24,20000000
3/26/24,1130000000
