Date,Jackpot,Cash Value,Ticket Info
8/8/23,1602,794.2,Florida
1/13/23,1348,723.5,Maine
7/29/22,1337,780.5,Illinois
12/27/24,1269,571.9,California 
3/26/24,1128,536.6,New Jersey
1/22/21,1050,776.6,Michigan
9/10/24,810,409.3,Texas
6/4/24,552,260.2,Illinois
6/7/19,522,340,California 
5/21/21,516,349.3,Pennsylvania
10/14/22,502,252,California 
10/14/22,502,252,Florida
4/14/23,483,256.9,New York
1/1/19,437,262.2,New York
9/21/21,431,314.4,New York
1/28/22,426,292.9,California 
6/9/20,414,319.9,Arizona
12/8/23,394,188.6,California 
12/17/19,375,253.5,Ohio
10/6/23,361,157.3,Texas
3/1/19,273,162.6,New Jersey
9/24/19,225,157,Texas
2/11/20,202,142.6,New Jersey
7/23/19,168,108.5,New Hampshire 
3/8/22,128,85.8,New York
7/24/20,123,100.1,New Jersey
9/15/20,120,95.4,wisconsin
1/17/25,112,49.95,Tempe
4/12/22,110,66.9,Minnesota
10/22/21,108,75.2,Arizona
2/16/21,96,68.5,New York
6/8/21,55,38,Illinois
3/12/19,50,30.2,Moraine
8/15/23,39,18.9,Florida
1/24/23,33,17.4,Massachusetts
1/31/23,31,16.5,Massachusetts
7/31/20,22,17.9,California 
4/18/23,20,10.5,New York
1/17/23,20,10.6,New York
4/15/22,20,11.9,Tennessee
