Date,Jackpot,Cash Value,Ticket Info
17-Jan-25,$112 million,$49.95 million cash,Tempe
27-Dec-24,$1.269 billion,$571.9 million cash,California 
10-Sep-24,$810 million,$409.3 million cash,Texas
4-Jun-24,$552 million,$260.2 million cash,Illinois
26-Mar-24,$1.128 billion,$536.6 million cash,New Jersey
8-Dec-23,$394 million,$188.6 million cash,California 
6-Oct-23,$361 million,$157.3 million cash,Texas
15-Aug-23,$39 million,$18.9 million cash,Florida
8-Aug-23,$1.602 billion,$794.2 million cash,Florida
18-Apr-23,$20 million,$10.5 million cash,New York
14-Apr-23,$483 million,$256.9 million cash,New York
31-Jan-23,$31 million,$16.5 million cash,Massachusetts
24-Jan-23,$33 million,$17.4 million cash,Massachusetts
17-Jan-23,$20 million,$10.6 million cash,New York
13-Jan-23,$1.348 billion,$723.5 million cash,Maine
14-Oct-22,$502 million,$252.0 million cash,California 
14-Oct-22,$502 million,$252.0 million cash,Florida
29-Jul-22,$1.337 billion,$780.5 million cash,Illinois
15-Apr-22,$20 million,$11.9 million cash,Tennessee
12-Apr-22,$110 million,$66.9 million cash,Minnesota
8-Mar-22,$128 million,$85.8 million cash,New York
28-Jan-22,$426 million,$292.9 million cash,California 
22-Oct-21,$108 million,$75.2 million cash,Arizona
21-Sep-21,$431 million,$314.4 million cash,New York
8-Jun-21,$55 million,$38.0 million cash,Illinois
21-May-21,$516 million,$349.3 million cash,Pennsylvania
16-Feb-21,$96 million,$68.5 million cash,New York
22-Jan-21,$1.050 billion,$776.6 million cash,Michigan
15-Sep-20,$120 million,$95.4 million cash,wisconsin
31-Jul-20,$22 million,$17.9 million cash,California 
24-Jul-20,$123 million,$100.1 million cash,New Jersey
9-Jun-20,$414 million,$319.9 million cash,Arizona
11-Feb-20,$202 million,$142.6 million cash,New Jersey
17-Dec-19,$375 million,$253.5 million cash,Ohio
24-Sep-19,$225 million,$157.0 million cash,Texas
23-Jul-19,$168 million,$108.5 million cash,New Hampshire 
7-Jun-19,$522 million,$340.0 million cash,California 
12-Mar-19,$50 million,$30.2 million cash,Moraine
1-Mar-19,$273 million,$162.6 million cash,New Jersey
1-Jan-19,$437 million,$262.2 million cash,New York
23-Oct-18,$1.537 billion,,South Carolina
24-Jul-18,$543 million,,California 
4-May-18,$142 million,,Ohio
30-Mar-18,$533 million,,New Jersey
5-Jan-18,$451 million,,Florida
13-Oct-17,$42 million,,Michigan
22-Sep-17,$105 million,,New York
11-Aug-17,$393 million,,Illinois
28-Apr-17,$61 million,,California
31-Mar-17,$177 million,,Arkansas
27-Jan-17,$191 million,,California
18-Nov-16,$83 million,,Georgia
11-Oct-16,$49 million,,Texas
16-Sep-16,$134 million,,Illinois
22-Jul-16,$7.5 million,,Virginia
22-Jul-16,$7.5 million,,Georgia
19-Jul-16,$25 million,,Washington
8-Jul-16,$536 million,,Indiana
8-Mar-16,$157 million,,Washington
8-Jan-16,$169 million,,New York
13-Nov-15,$202 million,,Ohio
11-Sep-15,$106 million,,New Jersey
31-Jul-15,$25 million,,Missouri
21-Jul-15,$153 million,,Pennsylvania
2-Jun-15,$262 million,,Illinois
24-Mar-15,$58 million,,New York
27-Feb-15,$126 million,,New York
16-Jan-15,$265 million,,Illinois
4-Nov-14,$326 million,,New York
22-Aug-14,$180 million,,California
27-Jun-14,$33 million,,Texas
13-Jun-14,$66 million,,Michigan
20-May-14,$149 million,,Pennsylvania
4-Apr-14,$30 million,,California
25-Mar-14,$20 million,,New York
18-Mar-14,$414 million,,Florida
3-Jan-14,$61 million,,Tennessee
17-Dec-13,$648 million,,California
1-Oct-13,$189 million,,Maryland
26-Jul-13,$19 million,,New Jersey
16-Jul-13,$20 million,,Texas
5-Jul-13,$80 million,,Michigan
31-May-13,$30 million,,New Jersey
17-May-13,$198 million,,New Jersey
12-Mar-13,$41 million,,Ohio
19-Feb-13,$26 million,,Maryland
5-Feb-13,$19 million,,Michigan
25-Jan-13,$89 million,,New Jersey
14-Dec-12,$35 million,,California
27-Nov-12,$50 million,,Georgia
2-Nov-12,$33 million,,New York
16-Oct-12,$61 million,,California
18-Sep-12,$14 million,,New Jersey
11-Sep-12,$120 million,,California
27-Jul-12,$52 million,,California
3-Jul-12,$85 million,,New York
29-May-12,$32 million,,California
15-May-12,$25 million,,California
4-May-12,$118 million,,Illinois
30-Mar-12,$656 million,,Kansas
24-Jan-12,$72 million,,Georgia
27-Dec-11,$208 million,,California
1-Nov-11,$78 million,,California
30-Sep-11,$113 million,,California
19-Aug-11,$32 million,,Massachusetts
5-Aug-11,$99 million,,Ohio
1-Jul-11,$107 million,,Virginia
27-May-11,$35 million,,Texas
13-May-11,$27 million,,Michigan
3-May-11,$51 million,,California
15-Apr-11,$72 million,,New York
25-Mar-11,$319 million,,New York
1-Feb-11,$93 million,,Indiana
4-Jan-11,$380 million,,Washington
9-Nov-10,$25 million,,Ohio
29-Oct-10,$141 million,,Michigan
17-Sep-10,$54 million,,New York
27-Aug-10,$135 million,,California
16-Jul-10,$64 million,,California
22-Jun-10,$26 million,,New York
11-Jun-10,$36 million,,Michigan
28-May-10,$12 million,,North Carolina
25-May-10,$64 million,,New York
4-May-10,$266 million,,California
12-Mar-10,$20 million,,Illinois
5-Mar-10,$134 million,,California
29-Jan-10,$144 million,,Texas
22-Dec-09,$165 million,,New York
10-Nov-09,$77 million,,California
16-Oct-09,$200 million,,Virginia
1-Sep-09,$12 million,,Georgia
28-Aug-09,$336 million,,California
7-Jul-09,$133 million,,New York
29-May-09,$35 million,,New York
15-May-09,$38 million,,California
1-May-09,$227 million,,California
13-Mar-09,$26 million,,New York
3-Mar-09,$216 million,,New Jersey
13-Jan-09,$22 million,,New York
2-Jan-09,$47 million,,California
12-Dec-08,$207 million,,Ohio
21-Oct-08,$42 million,,Georgia
3-Oct-08,$42 million,,Michigan
16-Sep-08,$15 million,,Ohio
9-Sep-08,$24 million,,Maryland
29-Aug-08,$133 million,,Georgia
22-Jul-08,$126 million,,New Jersey
13-Jun-08,$57 million,,Michigan
23-May-08,$17 million,,New York
16-May-08,$196 million,,Ohio
1-Apr-08,$136 million,,Michigan
22-Feb-08,$275 million,,Georgia
1-Jan-08,$33 million,,Texas
18-Dec-07,$163 million,,New Jersey
2-Nov-07,$75 million,,New York
5-Oct-07,$27 million,,Maryland
25-Sep-07,$12 million,,New Jersey
21-Sep-07,$61 million,,California
31-Aug-07,$330 million,,New Jersey
6-Jul-07,$128 million,,Texas
29-May-07,$44 million,,Florida
11-May-07,$113 million,,California
6-Apr-07,$105 million,,New York
6-Mar-07,$390 million,,New Jersey
